Module                  Size  Used by
i2c_piix4              36864  0
bluetooth            1163264  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
sparse_keymap          12288  1 hp_wmi
rfkill                 45056  9 hp_wmi,rtw89_core,bluetooth,cfg80211
ghash_clmulni_intel    12288  0
amd_sfh                61440  1 amd_pmf
platform_profile       20480  2 hp_wmi,amd_pmf
tee                    57344  2 amd_pmf,amdtee
rapl                   20480  0
snd_pci_acp3x          20480  0
amdxdna               200704  0
i2c_smbus              20480  1 i2c_piix4
ccp                   233472  2 kvm_amd,amdtee
i2c_hid_acpi           12288  0
gpu_sched              73728  2 amdxdna,amdgpu
amd_pmc                57344  0
i2c_hid                45056  1 i2c_hid_acpi
mac_hid                12288  0
acpi_tad               20480  0
nvidia_drm            159744  0
nvidia_modeset       2048000  1 nvidia_drm
nvidia              15536128  2 nvidia_uvm,nvidia_modeset
drm_ttm_helper         20480  3 amdgpu,nvidia_drm
ttm                   126976  2 amdgpu,drm_ttm_helper
tun                    69632  0
zfs                  6623232  6
ntsync                 20480  0
spl                   159744  1 zfs
crypto_user            12288  0
i2c_dev                24576  0
pkcs8_key_parser       12288  0
nfnetlink              20480  2
zram                   69632  1
842_decompress         16384  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
overlay               241664  1
squashfs               98304  1
loop                   40960  2
isofs                  65536  0
cdrom                  90112  1 isofs
dm_mod                237568  4
nvme                   73728  0
r8169                 172032  0
uas                    36864  0
realtek                61440  1
nvme_core             274432  1 nvme
usb_storage            94208  3 uas
mdio_devres            12288  1 r8169
aesni_intel           106496  3
nvme_keyring           20480  1 nvme_core
serio_raw              20480  0
libphy                192512  3 r8169,mdio_devres,realtek
nvme_auth              32768  1 nvme_core
video                  81920  2 amdgpu,nvidia_modeset
mdio_bus               65536  3 r8169,libphy,realtek
hkdf                   12288  1 nvme_auth
wmi                    36864  4 hp_wmi,video,hp_bioscfg,wmi_bmof
